id,Institution Name,
421,Universidade Nova de Lisboa,
422,University of Iowa,
423,Flinders University,
424,Universit� degli Studi di Napoli Federico II,
425,Universit�t Konstanz,
426,National Central University,
427,Stellenbosch University,
428,Dublin City University (DCU),
429,Tianjin University,
430,University of Liege,
431,Boston College,
432,Ruhr-Universit�t Bochum,
433,Universidad de Zaragoza,
434,Universidad Polit�cnica de Madrid,
435,Beijing Institute of Technology,
436,ITMO University,
437,Universidad de Belgrano,
438,Peter the Great St.Petersburg Polytechnic University,
439,Universidade Federal de S�o Paulo (UNIFESP),
440,University of Saskatchewan,
441,Aston University,
442,Auckland University of Technology,
443,Bond University,
444,Chiba University,
445,Colorado State University,
446,UCSI University,
447,Florida State University,
448,Hitotsubashi University,
449,Universit� degli Studi di Firenze (UNIFI),
450,Ko� University,
451,"National University of Science and Technology ""MISIS""",
452,Xiamen University,
453,Dongguk University,
454,National Technical University of Athens,
455,Sogang University,
456,"University of California, Riverside (UCR)",
457,Universit� de Bordeaux,
458,Vilnius University,
459,"University of Maryland, Baltimore County",
460,Oregon State University,
461,Beihang University,
462,Concordia University,
463,Julius-Maximilians-Universit�t W�rzburg,
464,Swansea University,
465,The Catholic University of Korea,
466,University of Science and Technology Beijing,
467,Brandeis University,
468,Pontificia Universidad Javeriana,
469,Shandong University,
470,Universit�t des Saarlandes,
471,Western Sydney University,
472,Yokohama City University,
473,Pontificia Universidad Cat�lica del Per�,
474,The University of Georgia,
475,University of Delhi,
476,Singapore Management University,
477,Christian-Albrechts-Universit�t zu Kiel,
478,University of Stirling,
479,South China University of Technology,
480,Universidad Externado de Colombia,
481,"Universidade Estadual Paulista ""J�lio de Mesquita Filho""",
482,Universiti Teknologi Petronas (Petronas),
483,Aberystwyth University,
484,Chang Gung University,
485,Jilin University,
486,University of Canberra,
487,Wayne State University,
488,Amirkabir University of Technology,
489,Universidad de Santiago de Chile (USACH),
490,Indian Institute of Technology Guwahati (IITG),
491,Lappeenranta University of Technology,
492,M.O.Auezov South Kazakhstan State University,
493,Universidad de Montevideo,
494,Universit� Aix-Marseille,
495,University of Delaware,
496,V.N. Karazin Kharkiv National University,
497,Czech Technical University In Prague,
498,Universit� de Montpellier,
499,University of Eastern Finland,
500,Bilkent University,
501,Institut National des Sciences Appliqu�es de Lyon (INSA),
502,King Khalid University,
503,Southeast University,
504,Umm Al-Qura University (UQU),
505,Universidad de Alcal�,
506,Universidad de la Habana,
507,University of Johannesburg,
508,University of Szeged,
509,University of Texas Dallas,
510,Iowa State University,
511,Martin-Luther-Universit�t Halle-Wittenberg,
512,National Taipei University of Technology,
513,Quaid-i-azam University,
514,Taylor's University,
515,Universidad de Costa Rica,
516,Universidad de Granada,
517,Universit� Cattolica del Sacro Cuore,
518,Universit� degli Studi di Roma - Tor Vergata,
519,Universit� Paul Sabatier Toulouse III,
520,University of Ulsan,
521,York University,
522,Bangor University,
523,Cairo University,
524,Inha University,
525,Justus-Liebig-Universit�t Gie�en,
526,National Research Saratov State University,
527,Pusan National University,
528,Sabanci University,
